enemy_marines,predictor_marines,reward,enemy_minerals,enemy_gas,enemy_workers,enemy_military_units,enemy_buildings,enemy_attack_time,enemy_strategy,enemy_damage_inflicted,enemy_opponent_resources,enemy_result
3,1,1,50,0,12,0,1,[8192],defense,342,0,1
2,10,-1,50,0,12,0,1,[8192],defense,419,0,0
4,5,-1,50,0,12,0,1,[8192],defense,127,0,0
2,4,-1,50,0,12,0,1,[7168],defense,641,0,0
3,4,-1,50,0,12,0,1,[5120],defense,1986,0,0
2,5,-1,50,0,12,0,1,[6144],defense,1473,0,0
8,2,1,50,0,12,0,1,[13312],attack,111,0,1
2,9,-1,50,0,12,0,1,[7168],defense,304,0,0
3,10,-1,50,0,12,0,1,[9216],defense,480,0,0
9,5,1,50,0,12,0,1,[14336],attack,0,0,1
2,10,-1,50,0,12,0,1,[5120],defense,930,0,0
7,2,1,50,0,12,0,1,[12288],attack,0,0,1
7,8,-1,50,0,12,0,1,[11264],attack,76,0,1
3,6,-1,50,0,12,0,1,[7168],defense,505,0,0
3,1,-1,50,0,12,0,1,[7168],defense,41,0,0
5,7,-1,50,0,12,0,1,[8192],defense,1538,0,0
3,5,-1,50,0,12,0,1,[6144],defense,773,0,0
8,8,1,50,0,12,0,1,[14336],attack,65,0,1
3,4,-1,50,0,12,0,1,[8192],defense,107,0,0
3,6,-1,50,0,12,0,1,[7168],defense,1266,0,0
5,10,-1,50,0,12,0,1,[9216],defense,128,0,1
9,9,1,50,0,12,0,1,[13312],attack,23,0,1
8,3,1,50,0,12,0,1,[14336],attack,0,0,1
9,4,1,50,0,12,0,1,[12288],attack,1232,0,1
10,3,1,50,0,12,0,1,[14336],attack,0,0,1
3,7,-1,50,0,12,0,1,[9216],defense,2448,0,0
10,5,1,50,0,12,0,1,[14336],attack,0,0,1
1,5,-1,50,0,12,0,1,[5120],defense,235,0,0
8,7,1,50,0,12,0,1,[12288],attack,21,0,1
10,3,1,50,0,12,0,1,[9216],attack,0,0,1
2,8,-1,50,0,12,0,1,[7168],defense,139,0,0
9,4,1,50,0,12,0,1,[10240],attack,662,0,1
3,5,-1,50,0,12,0,1,[7168],defense,1587,0,0
9,7,1,50,0,12,0,1,[13312],attack,69,0,1
9,10,-1,50,0,12,0,1,[12288],attack,172,0,0
9,3,1,50,0,12,0,1,[12288],attack,17,0,1
9,5,1,50,0,12,0,1,[9216],attack,0,0,1
1,5,-1,50,0,12,0,1,[5120],defense,1054,0,0
10,1,1,50,0,12,0,1,[14336],attack,0,0,1
2,10,-1,50,0,12,0,1,[5120],defense,1659,0,0
5,7,-1,50,0,12,0,1,[11264],attack,107,0,0
2,8,-1,50,0,12,0,1,[7168],defense,1802,0,0
9,8,-1,50,0,12,0,1,[10240],attack,256,0,0
4,3,1,50,0,12,0,1,[9216],defense,34,0,1
4,7,-1,50,0,12,0,1,[9216],defense,1792,0,0
3,5,-1,50,0,12,0,1,[7168],defense,790,0,0
1,7,-1,50,0,12,0,1,[5120],defense,1245,0,0
9,3,1,50,0,12,0,1,[14336],attack,78,0,1
3,9,-1,50,0,12,0,1,[6144],defense,1252,0,0
10,5,1,50,0,12,0,1,[14336],attack,5,0,1
8,2,1,50,0,12,0,1,[12288],attack,123,0,1
8,4,1,50,0,12,0,1,[13312],attack,63,0,1
2,10,-1,50,0,12,0,1,[5120],defense,351,0,0
5,2,1,50,0,12,0,1,[9216],defense,66,0,1
6,7,1,50,0,12,0,1,[11264],attack,53,0,1
8,4,1,50,0,12,0,1,[12288],attack,0,0,1
8,10,-1,50,0,12,0,1,[12288],attack,912,0,0
5,2,1,50,0,12,0,1,[8192],defense,147,0,1
8,3,-1,50,0,12,0,1,[11264],attack,1845,0,0
1,8,-1,50,0,12,0,1,[5120],defense,72,0,0
9,8,1,50,0,12,0,1,[9216],attack,96,0,1
8,9,1,50,0,12,0,1,[12288],attack,1318,0,1
8,8,1,50,0,12,0,1,[10240],attack,91,0,1
10,5,1,50,0,12,0,1,[14336],attack,0,0,1
10,5,1,50,0,12,0,1,[14336],attack,46,0,1
6,10,-1,50,0,12,0,1,[12288],attack,36,0,0
7,4,1,50,0,12,0,1,[12288],attack,0,0,1
7,5,1,50,0,12,0,1,[9216],defense,207,0,1
7,7,1,50,0,12,0,1,[11264],attack,0,0,1
1,5,-1,50,0,12,0,1,[5120],defense,2176,0,0
1,10,-1,50,0,12,0,1,[5120],defense,500,0,0
5,3,1,50,0,12,0,1,[10240],attack,0,0,1
8,1,1,50,0,12,0,1,[12288],attack,0,0,1
9,3,1,50,0,12,0,1,[13312],attack,103,0,1
9,2,1,50,0,12,0,1,[12288],attack,144,0,1
9,8,1,50,0,12,0,1,[13312],attack,0,0,1
7,10,-1,50,0,12,0,1,[10240],attack,239,0,0
4,7,-1,50,0,12,0,1,[10240],defense,552,0,0
10,1,1,50,0,12,0,1,[10240],attack,0,0,1
2,6,-1,50,0,12,0,1,[7168],defense,499,0,0
7,5,-1,50,0,12,0,1,[10240],attack,678,0,0
9,9,1,50,0,12,0,1,[7168],attack,80,0,0
9,5,1,50,0,12,0,1,[10240],attack,0,0,1
2,5,-1,50,0,12,0,1,[5120],defense,1301,0,0
3,7,-1,50,0,12,0,1,[9216],defense,314,0,0
3,5,-1,50,0,12,0,1,[7168],defense,366,0,0
9,3,1,50,0,12,0,1,[14336],attack,37,0,1
3,1,1,50,0,12,0,1,[8192],attack,25,0,1
8,1,1,50,0,12,0,1,[14336],defense,0,0,1
10,4,1,50,0,12,0,1,[14336],attack,23,0,1
8,10,-1,50,0,12,0,1,[11264],attack,555,0,0
10,5,1,50,0,12,0,1,[14336],attack,0,0,1
1,8,-1,50,0,12,0,1,[7168],defense,2098,0,0
3,9,-1,50,0,12,0,1,[7168],attack,63,0,0
1,7,-1,50,0,12,0,1,[7168],defense,296,0,0
9,8,-1,50,0,12,0,1,[9216],defense,319,0,0
7,10,-1,50,0,12,0,1,[11264],attack,127,0,0
1,5,-1,50,0,12,0,1,[5120],defense,1009,0,0
7,8,-1,50,0,12,0,1,[10240],attack,1298,0,0
6,4,1,50,0,12,0,1,[11264],attack,3,0,1
7,10,-1,50,0,12,0,1,[12288],attack,1326,0,0
8,3,1,50,0,12,0,1,[12288],attack,48,0,1
2,7,-1,50,0,12,0,1,[7168],defense,193,0,0
9,4,1,50,0,12,0,1,[12288],attack,932,0,1
10,8,1,50,0,12,0,1,[14336],attack,3,0,1
9,5,1,50,0,12,0,1,[14336],attack,0,0,1
4,3,1,50,0,12,0,1,[8192],defense,601,0,0
3,10,-1,50,0,12,0,1,[7168],defense,949,0,0
4,3,1,50,0,12,0,1,[7168],defense,55,0,1
9,3,1,50,0,12,0,1,[10240],attack,1311,0,1
5,10,-1,50,0,12,0,1,[9216],defense,978,0,0
8,10,-1,50,0,12,0,1,[12288],attack,0,0,0
9,8,1,50,0,12,0,1,[14336],attack,66,0,1
4,2,1,50,0,12,0,1,[9216],defense,67,0,1
2,10,-1,50,0,12,0,1,[5120],defense,218,0,0
10,3,1,50,0,12,0,1,[14336],attack,0,0,1
2,7,-1,50,0,12,0,1,[6144],defense,377,0,0
9,5,1,50,0,12,0,1,[12288],attack,39,0,1
10,8,1,50,0,12,0,1,[10240],attack,61,0,1
6,7,-1,50,0,12,0,1,[6144],attack,740,0,0
6,4,1,50,0,12,0,1,[9216],defense,1244,0,1
1,9,-1,50,0,12,0,1,[5120],defense,1207,0,0
9,10,-1,50,0,12,0,1,[12288],attack,164,0,0
8,9,-1,50,0,12,0,1,[12288],attack,847,0,0
5,7,-1,50,0,12,0,1,[8192],defense,1895,0,0
10,5,1,50,0,12,0,1,[14336],attack,0,0,1
10,3,1,50,0,12,0,1,[14336],attack,48,0,1
4,7,-1,50,0,12,0,1,[8192],defense,1322,0,0
9,1,1,50,0,12,0,1,[14336],attack,0,0,1
2,4,-1,50,0,12,0,1,[8192],defense,1149,0,0
3,10,-1,50,0,12,0,1,[9216],defense,507,0,0
3,7,-1,50,0,12,0,1,[5120],defense,702,0,0
3,7,-1,50,0,12,0,1,[7168],defense,550,0,0
4,5,1,50,0,12,0,1,[9216],defense,0,0,1
3,1,-1,50,0,12,0,1,[8192],defense,0,0,0
9,3,1,50,0,12,0,1,[14336],attack,0,0,1
10,5,1,50,0,12,0,1,[14336],attack,0,0,1
3,9,-1,50,0,12,0,1,[7168],defense,402,0,0
3,8,-1,50,0,12,0,1,[7168],defense,341,0,0
2,8,-1,50,0,12,0,1,[7168],defense,526,0,0
7,4,1,50,0,12,0,1,[11264],attack,92,0,1
3,7,-1,50,0,12,0,1,[6144],defense,218,0,0
10,1,1,50,0,12,0,1,[14336],attack,0,0,1
8,4,1,50,0,12,0,1,[13312],attack,173,0,1
5,1,1,50,0,12,0,1,[8192],defense,86,0,1
5,7,1,50,0,12,0,1,[11264],attack,0,0,1
3,7,-1,50,0,12,0,1,[5120],defense,2448,0,0
4,9,1,50,0,12,0,1,[7168],defense,76,0,1
9,8,1,50,0,12,0,1,[13312],attack,40,0,1
8,4,1,50,0,12,0,1,[12288],attack,37,0,1
9,8,-1,50,0,12,0,1,[13312],attack,145,0,0
3,10,-1,50,0,12,0,1,[8192],defense,178,0,0
10,5,1,50,0,12,0,1,[14336],attack,21,0,1
2,6,-1,50,0,12,0,1,[7168],defense,457,0,0
8,1,1,50,0,12,0,1,[13312],attack,100,0,1
9,7,1,50,0,12,0,1,[10240],attack,0,0,1
2,4,-1,50,0,12,0,1,[8192],defense,1176,0,0
10,1,1,50,0,12,0,1,[14336],attack,0,0,1
3,8,-1,50,0,12,0,1,[7168],defense,330,0,0
5,5,1,50,0,12,0,1,[8192],defense,0,0,1
2,5,1,50,0,12,0,1,[5120],defense,0,0,1
2,7,-1,50,0,12,0,1,[11264],attack,799,0,0
9,2,1,50,0,12,0,1,[14336],attack,76,0,1
9,1,1,50,0,12,0,1,[14336],attack,66,0,1
10,8,1,50,0,12,0,1,[14336],attack,192,0,1
8,9,-1,50,0,12,0,1,[10240],attack,160,0,0
4,6,-1,50,0,12,0,1,[9216],defense,830,0,1
8,10,-1,50,0,12,0,1,[12288],attack,1801,0,0
3,7,1,50,0,12,0,1,[9216],attack,159,0,0
4,10,-1,50,0,12,0,1,[9216],defense,361,0,0
5,1,1,50,0,12,0,1,[9216],defense,18,0,1
8,8,1,50,0,12,0,1,[10240],attack,0,0,1
3,4,1,50,0,12,0,1,[8192],attack,0,0,1
3,5,-1,50,0,12,0,1,[7168],defense,546,0,0
10,4,1,50,0,12,0,1,[14336],attack,57,0,1
2,9,-1,50,0,12,0,1,[7168],defense,0,0,0
9,4,1,50,0,12,0,1,[12288],attack,53,0,1
9,5,1,50,0,12,0,1,[14336],attack,0,0,1
1,5,-1,50,0,12,0,1,[5120],defense,2417,0,0
8,10,-1,50,0,12,0,1,[12288],attack,237,0,0
7,9,1,50,0,12,0,1,[12288],attack,0,0,1
3,9,-1,50,0,12,0,1,[5120],defense,181,0,0
3,9,-1,50,0,12,0,1,[14336],defense,1172,0,0
2,7,1,50,0,12,0,1,[6144],attack,0,0,1
8,8,-1,50,0,12,0,1,[14336],attack,148,0,0
8,9,1,50,0,12,0,1,[12288],attack,0,0,1
8,10,-1,50,0,12,0,1,[12288],attack,148,0,0
5,3,1,50,0,12,0,1,[14336],attack,0,0,1
8,8,-1,50,0,12,0,1,[7168],attack,902,0,0
1,5,-1,50,0,12,0,1,[6144],defense,1151,0,0
9,3,1,50,0,12,0,1,[14336],attack,0,0,1
8,7,1,50,0,12,0,1,[10240],attack,0,0,1
9,3,1,50,0,12,0,1,[14336],attack,43,0,1
7,7,-1,50,0,12,0,1,[6144],attack,821,0,0
8,4,1,50,0,12,0,1,[12288],attack,15,0,1
8,1,1,50,0,12,0,1,[10240],attack,0,0,1
7,7,1,50,0,12,0,1,[11264],attack,120,0,1
2,7,-1,50,0,12,0,1,[11264],defense,237,0,0
3,9,-1,50,0,12,0,1,[7168],defense,692,0,1
8,10,-1,50,0,12,0,1,[13312],attack,190,0,0
2,5,-1,50,0,12,0,1,[5120],defense,1776,0,0
7,9,-1,50,0,12,0,1,[12288],attack,731,0,0
2,7,-1,50,0,12,0,1,[6144],defense,1198,0,0
3,10,-1,50,0,12,0,1,[9216],defense,350,0,0
8,9,-1,50,0,12,0,1,[12288],attack,144,0,0
8,7,1,50,0,12,0,1,[11264],attack,0,0,1
8,10,-1,50,0,12,0,1,[8192],attack,385,0,0
3,3,-1,50,0,12,0,1,[9216],defense,1046,0,1
2,6,-1,50,0,12,0,1,[10240],defense,578,0,0
1,5,-1,50,0,12,0,1,[7168],defense,309,0,0
1,5,-1,50,0,12,0,1,[5120],defense,1089,0,0
3,9,-1,50,0,12,0,1,[7168],defense,348,0,0
7,10,-1,50,0,12,0,1,[12288],attack,89,0,0
3,10,-1,50,0,12,0,1,[9216],defense,278,0,0
1,7,-1,50,0,12,0,1,[9216],defense,113,0,0
5,5,-1,50,0,12,0,1,[7168],defense,125,0,0
9,8,1,50,0,12,0,1,[12288],attack,46,0,1
4,7,-1,50,0,12,0,1,[10240],attack,1119,0,0
2,8,-1,50,0,12,0,1,[9216],defense,353,0,0
6,7,1,50,0,12,0,1,[11264],attack,0,0,1
9,5,1,50,0,12,0,1,[14336],attack,0,0,1
7,4,1,50,0,12,0,1,[12288],attack,0,0,1
3,5,1,50,0,12,0,1,[8192],defense,0,0,1
4,8,-1,50,0,12,0,1,[10240],defense,384,0,0
4,3,1,50,0,12,0,1,[9216],defense,151,0,1
9,1,1,50,0,12,0,1,[10240],attack,0,0,1
4,6,-1,50,0,12,0,1,[8192],defense,1301,0,0
5,9,-1,50,0,12,0,1,[7168],defense,0,0,0
9,3,1,50,0,12,0,1,[11264],attack,0,0,1
8,3,-1,50,0,12,0,1,[11264],attack,233,0,0
10,10,-1,50,0,12,0,1,[9216],defense,351,0,0
9,1,1,50,0,12,0,1,[14336],attack,0,0,1
4,3,-1,50,0,12,0,1,[7168],defense,1065,0,1
10,8,1,50,0,12,0,1,[14336],attack,87,0,1
8,4,1,50,0,12,0,1,[11264],attack,83,0,1
2,7,-1,50,0,12,0,1,[7168],defense,923,0,0
4,5,-1,50,0,12,0,1,[9216],defense,548,0,0
4,5,-1,50,0,12,0,1,[9216],defense,1325,0,0
9,8,1,50,0,12,0,1,[14336],attack,96,0,1
2,4,-1,50,0,12,0,1,[8192],defense,1192,0,0
4,5,-1,50,0,12,0,1,[9216],defense,1331,0,0
4,7,1,50,0,12,0,1,[9216],defense,35,0,1
4,3,1,50,0,12,0,1,[9216],defense,2,0,1
8,7,1,50,0,12,0,1,[11264],attack,11,0,1
8,5,1,50,0,12,0,1,[11264],attack,0,0,1
10,5,1,50,0,12,0,1,[14336],attack,0,0,1
1,8,-1,50,0,12,0,1,[5120],defense,1091,0,0
3,6,-1,50,0,12,0,1,[8192],defense,918,0,0
8,4,1,50,0,12,0,1,[11264],attack,0,0,1
4,5,-1,50,0,12,0,1,[8192],defense,1629,0,0
10,2,1,50,0,12,0,1,[14336],attack,2,0,1
7,4,1,50,0,12,0,1,[11264],attack,8,0,1
8,10,-1,50,0,12,0,1,[12288],attack,105,0,0
9,4,1,50,0,12,0,1,[13312],attack,0,0,1
9,7,1,50,0,12,0,1,[10240],attack,0,0,1
3,9,-1,50,0,12,0,1,[10240],attack,154,0,0
10,5,1,50,0,12,0,1,[14336],attack,68,0,1
9,7,1,50,0,12,0,1,[14336],attack,0,0,1
3,7,-1,50,0,12,0,1,[5120],defense,241,0,0
4,5,-1,50,0,12,0,1,[8192],defense,1179,0,0
2,10,-1,50,0,12,0,1,[9216],defense,381,0,0
1,7,-1,50,0,12,0,1,[8192],defense,231,0,0
8,8,1,50,0,12,0,1,[13312],attack,0,0,1
5,2,1,50,0,12,0,1,[8192],defense,76,0,1
9,3,1,50,0,12,0,1,[14336],attack,0,0,1
6,1,1,50,0,12,0,1,[8192],defense,0,0,1
3,7,1,50,0,12,0,1,[10240],defense,0,0,1
3,9,-1,50,0,12,0,1,[7168],defense,0,0,0
5,5,1,50,0,12,0,1,[9216],defense,62,0,1
3,6,-1,50,0,12,0,1,[5120],defense,1766,0,0
9,5,1,50,0,12,0,1,[10240],attack,7,0,1
4,8,-1,50,0,12,0,1,[8192],defense,207,0,0
4,1,1,50,0,12,0,1,[10240],defense,0,0,1
4,1,-1,50,0,12,0,1,[9216],defense,753,0,0
3,4,-1,50,0,12,0,1,[8192],defense,1274,0,0
4,5,-1,50,0,12,0,1,[7168],defense,1727,0,0
4,9,-1,50,0,12,0,1,[7168],defense,226,0,0
4,9,-1,50,0,12,0,1,[7168],defense,1108,0,0
7,4,1,50,0,12,0,1,[13312],attack,189,0,1
4,7,-1,50,0,12,0,1,[9216],defense,286,0,0
4,1,1,50,0,12,0,1,[8192],defense,42,0,1
8,7,1,50,0,12,0,1,[10240],attack,0,0,1
7,2,1,50,0,12,0,1,[11264],attack,59,0,1
9,4,1,50,0,12,0,1,[13312],attack,12,0,1
2,10,-1,50,0,12,0,1,[9216],defense,464,0,0
4,4,-1,50,0,12,0,1,[8192],defense,1534,0,0
7,1,1,50,0,12,0,1,[11264],attack,0,0,1
2,10,-1,50,0,12,0,1,[5120],defense,1545,0,0
9,3,1,50,0,12,0,1,[9216],defense,55,0,1
3,5,-1,50,0,12,0,1,[8192],defense,2448,0,0
8,9,1,50,0,12,0,1,[12288],attack,51,0,1
3,8,-1,50,0,12,0,1,[7168],defense,540,0,0
4,5,-1,50,0,12,0,1,[7168],defense,1158,0,0
3,7,-1,50,0,12,0,1,[8192],defense,195,0,0
4,5,-1,50,0,12,0,1,[8192],defense,1026,0,0
8,10,-1,50,0,12,0,1,[12288],defense,1544,0,0
3,10,-1,50,0,12,0,1,[13312],attack,231,0,0
9,3,1,50,0,12,0,1,[14336],attack,0,0,1
7,9,-1,50,0,12,0,1,[12288],attack,0,0,0
8,10,1,50,0,12,0,1,[12288],attack,20,0,1
8,2,1,50,0,12,0,1,[13312],attack,105,0,1
10,5,1,50,0,12,0,1,[14336],attack,0,0,1
1,7,-1,50,0,12,0,1,[6144],defense,310,0,0
8,8,1,50,0,12,0,1,[12288],attack,123,0,1
9,3,1,50,0,12,0,1,[14336],attack,0,0,1
3,5,-1,50,0,12,0,1,[9216],defense,1125,0,0
4,2,1,50,0,12,0,1,[8192],defense,10,0,1
1,7,-1,50,0,12,0,1,[5120],defense,269,0,0
5,3,1,50,0,12,0,1,[9216],defense,0,0,1
2,10,-1,50,0,12,0,1,[5120],defense,2232,0,0
7,1,1,50,0,12,0,1,[9216],defense,0,0,1
9,8,1,50,0,12,0,1,[12288],attack,0,0,1
1,10,-1,50,0,12,0,1,[5120],defense,429,0,0
9,7,1,50,0,12,0,1,[11264],attack,0,0,1
4,2,-1,50,0,12,0,1,[8192],defense,1296,0,0
7,10,-1,50,0,12,0,1,[10240],attack,261,0,0
5,7,1,50,0,12,0,1,[9216],defense,0,0,1
3,10,-1,50,0,12,0,1,[10240],attack,836,0,0
4,7,-1,50,0,12,0,1,[6144],defense,49,0,0
9,3,1,50,0,12,0,1,[10240],attack,68,0,1
2,10,-1,50,0,12,0,1,[8192],defense,261,0,0
3,8,-1,50,0,12,0,1,[7168],defense,419,0,0
1,7,-1,50,0,12,0,1,[5120],defense,1983,0,0
1,6,-1,50,0,12,0,1,[7168],defense,1103,0,0
8,3,1,50,0,12,0,1,[12288],attack,0,0,1
4,5,-1,50,0,12,0,1,[9216],defense,213,0,0
2,5,-1,50,0,12,0,1,[8192],defense,1440,0,0
3,9,-1,50,0,12,0,1,[7168],defense,632,0,0
6,4,1,50,0,12,0,1,[12288],attack,0,0,1
3,6,-1,50,0,12,0,1,[7168],defense,517,0,0
10,5,1,50,0,12,0,1,[14336],attack,53,0,1
3,5,-1,50,0,12,0,1,[7168],defense,264,0,0
3,7,-1,50,0,12,0,1,[12288],defense,0,0,0
4,3,1,50,0,12,0,1,[9216],defense,86,0,1
4,1,1,50,0,12,0,1,[8192],defense,23,0,1
1,9,-1,50,0,12,0,1,[7168],defense,494,0,0
2,10,-1,50,0,12,0,1,[7168],defense,384,0,0
7,10,-1,50,0,12,0,1,[12288],attack,849,0,0
2,8,-1,50,0,12,0,1,[7168],defense,249,0,0
9,5,1,50,0,12,0,1,[12288],attack,41,0,1
7,10,-1,50,0,12,0,1,[10240],defense,1870,0,0
1,5,-1,50,0,12,0,1,[5120],defense,1385,0,0
4,1,1,50,0,12,0,1,[10240],attack,6,0,1
2,5,-1,50,0,12,0,1,[8192],defense,552,0,0
3,4,1,50,0,12,0,1,[13312],defense,135,0,1
1,6,-1,50,0,12,0,1,[6144],defense,1130,0,0
5,2,1,50,0,12,0,1,[8192],defense,0,0,1
3,3,-1,50,0,12,0,1,[7168],defense,628,0,0
2,7,-1,50,0,12,0,1,[5120],defense,1122,0,0
3,7,1,50,0,12,0,1,[10240],attack,640,0,1
6,1,1,50,0,12,0,1,[11264],attack,0,0,1
3,10,-1,50,0,12,0,1,[5120],defense,208,0,0
8,2,1,50,0,12,0,1,[12288],attack,1142,0,1
6,3,1,50,0,12,0,1,[9216],defense,0,0,1
4,10,-1,50,0,12,0,1,[8192],defense,298,0,0
2,8,-1,50,0,12,0,1,[7168],defense,158,0,0
8,4,1,50,0,12,0,1,[13312],attack,132,0,1
5,1,1,50,0,12,0,1,[14336],defense,0,0,1
9,3,1,50,0,12,0,1,[14336],attack,89,0,1
10,5,1,50,0,12,0,1,[14336],attack,0,0,1
4,2,1,50,0,12,0,1,[8192],defense,0,0,1
4,9,-1,50,0,12,0,1,[7168],defense,689,0,0
9,8,-1,50,0,12,0,1,[10240],attack,970,0,0
5,7,-1,50,0,12,0,1,[7168],defense,1853,0,0
4,7,1,50,0,12,0,1,[9216],defense,0,0,1
3,9,-1,50,0,12,0,1,[7168],attack,1876,0,0
3,7,-1,50,0,12,0,1,[7168],defense,0,0,0
4,5,-1,50,0,12,0,1,[8192],defense,2303,0,0
6,4,-1,50,0,12,0,1,[12288],attack,1428,0,0
5,10,-1,50,0,12,0,1,[12288],attack,55,0,0
10,5,1,50,0,12,0,1,[14336],attack,48,0,1
5,1,1,50,0,12,0,1,[8192],defense,0,0,1
7,4,1,50,0,12,0,1,[12288],attack,0,0,1
1,7,-1,50,0,12,0,1,[6144],defense,10,0,0
8,10,-1,50,0,12,0,1,[13312],defense,186,0,0
4,2,1,50,0,12,0,1,[8192],defense,119,0,1
3,8,-1,50,0,12,0,1,[7168],defense,1910,0,0
3,10,-1,50,0,12,0,1,[8192],defense,205,0,0
2,5,1,50,0,12,0,1,[8192],defense,105,0,1
8,9,-1,50,0,12,0,1,[11264],attack,63,0,0
9,10,-1,50,0,12,0,1,[8192],attack,2223,0,0
3,8,-1,50,0,12,0,1,[7168],defense,1624,0,0
9,5,1,50,0,12,0,1,[13312],attack,12,0,1
4,8,-1,50,0,12,0,1,[7168],defense,1990,0,0
2,9,-1,50,0,12,0,1,[7168],defense,123,0,0
5,10,1,50,0,12,0,1,[9216],defense,54,0,1
4,5,-1,50,0,12,0,1,[8192],defense,1887,0,0
5,1,1,50,0,12,0,1,[8192],defense,0,0,1
8,7,1,50,0,12,0,1,[14336],attack,102,0,1
9,3,1,50,0,12,0,1,[14336],attack,60,0,1
4,7,1,50,0,12,0,1,[9216],defense,0,0,1
7,4,1,50,0,12,0,1,[12288],attack,0,0,1
8,10,-1,50,0,12,0,1,[13312],attack,219,0,0
2,7,-1,50,0,12,0,1,[6144],defense,1105,0,0
8,4,1,50,0,12,0,1,[14336],attack,0,0,1
7,4,1,50,0,12,0,1,[10240],attack,23,0,1
4,7,1,50,0,12,0,1,[10240],defense,0,0,1
7,7,1,50,0,12,0,1,[10240],attack,0,0,1
2,4,1,50,0,12,0,1,[5120],defense,69,0,1
2,8,-1,50,0,12,0,1,[5120],defense,1707,0,0
1,5,-1,50,0,12,0,1,[5120],defense,2302,0,0
3,8,-1,50,0,12,0,1,[8192],defense,2159,0,0
7,10,-1,50,0,12,0,1,[12288],attack,827,0,0
8,4,1,50,0,12,0,1,[14336],attack,24,0,1
9,2,1,50,0,12,0,1,[12288],attack,0,0,1
3,5,-1,50,0,12,0,1,[9216],defense,1277,0,0
3,7,-1,50,0,12,0,1,[6144],defense,616,0,0
2,10,-1,50,0,12,0,1,[5120],defense,301,0,0
4,2,1,50,0,12,0,1,[8192],defense,112,0,1
4,5,-1,50,0,12,0,1,[6144],defense,766,0,0
2,7,-1,50,0,12,0,1,[7168],defense,396,0,0
4,8,-1,50,0,12,0,1,[9216],defense,68,0,0
9,5,1,50,0,12,0,1,[13312],attack,54,0,1
6,7,1,50,0,12,0,1,[10240],attack,129,0,1
2,10,-1,50,0,12,0,1,[8192],defense,1434,0,0
8,7,1,50,0,12,0,1,[13312],attack,0,0,1
4,7,-1,50,0,12,0,1,[10240],attack,345,0,0
4,1,1,50,0,12,0,1,[9216],defense,0,0,1
9,2,1,50,0,12,0,1,[8192],attack,158,0,1
9,5,1,50,0,12,0,1,[8192],attack,14,0,1
8,9,-1,50,0,12,0,1,[13312],attack,820,0,0
3,5,-1,50,0,12,0,1,[7168],defense,1458,0,0
8,1,1,50,0,12,0,1,[11264],attack,3,0,1
7,8,-1,50,0,12,0,1,[11264],attack,420,0,0
